id,column,category,subcategory,label,pronunciation,subject_mode,parent_photo_behavior,phase,core,growth_stage,meal_context,is_gestalt,gestalt_type,gestalt_meaning,gestalt_target_words,descriptive_clues,audience,authoring_kind,status,prompt_template,notes,acquisition_age,roles_present,objects_present,has_relationship,related_images,personalized
verbs.actions.more.do,verbs,Core,-,do,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.more.get,verbs,Core,-,get,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.give,verbs,Core,-,give,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.go,verbs,Core,-,go,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.help,verbs,Core,-,help,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.core.like,verbs,Core,-,like,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.more.make,verbs,Core,-,make,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.core.need,verbs,Core,-,need,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.more.put,verbs,Core,-,put,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.stop,verbs,Core,-,stop,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.more.take,verbs,Core,-,take,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.core.use,verbs,Core,-,use,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.core.want,verbs,Core,-,want,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.brush_teeth,verbs,Eating & Getting Ready,-,brush teeth,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.more.clean,verbs,Eating & Getting Ready,-,clean,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.core.clean_up,verbs,Eating & Getting Ready,-,clean up,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.more.cook,verbs,Eating & Getting Ready,-,cook,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.drink,verbs,Eating & Getting Ready,-,drink,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.eat,verbs,Eating & Getting Ready,-,eat,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.extra.pour,verbs,Eating & Getting Ready,-,pour,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.core.put_on,verbs,Eating & Getting Ready,-,put on,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.sleep,verbs,Eating & Getting Ready,-,sleep,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.extra.stir,verbs,Eating & Getting Ready,-,stir,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.core.take_off,verbs,Eating & Getting Ready,-,take off,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.core.wake_up,verbs,Eating & Getting Ready,-,wake up,,,,,,,,,,,,,,,,,,,,,,,
verbs.actions.wash,verbs,Eating & Getting Ready,-,wash,,,,,,,,,,,,,,,,,,,,,,,
