section,category,subcategory,label,kind,status,note
Needs,Core,,again,canonical,draft,on board as verbs/Fletcher Asks for Things
Needs,Core,,all done,canonical,draft,
Needs,Core,,bathroom,canonical,draft,
Needs,Core,,drink,canonical,draft,
Needs,Core,,eat,canonical,draft,on board as verbs/Fletcher Asks for Things
Needs,Core,,give,canonical,draft,
Needs,Core,,go,canonical,draft,on board as verbs/Fletcher Does Things
Needs,Core,,help,canonical,draft,
Needs,Core,,hurt,canonical,draft,on board as nouns/Fletcher Talks/Feelings
Needs,Core,,I don't like,canonical,draft,
Needs,Core,,I like,canonical,draft,
Needs,Core,,I want,canonical,draft,
Needs,Core,,look,canonical,draft,on board as verbs/Fletcher Does Things
Needs,Core,,mine,canonical,draft,
Needs,Core,,more,canonical,draft,on board as verbs/Fletcher Asks for Things
Needs,Core,,my turn,canonical,draft,on board as nouns/Fletcher Talks
Needs,Core,,no,canonical,draft,
Needs,Core,,open,canonical,draft,on board as verbs/Fletcher Does Things
Needs,Core,,please,canonical,draft,
Needs,Core,,stop,canonical,draft,on board as verbs/Fletcher Does Things
Needs,Core,,thank you,canonical,draft,on board as nouns/Fletcher Talks
Needs,Core,,wait,canonical,draft,on board as verbs/Fletcher Does Things
Needs,Core,,yes,canonical,draft,
Nouns,Adverbs,,almost,canonical,draft,
Nouns,Adverbs,,always,canonical,draft,
Nouns,Adverbs,,carefully,canonical,draft,
Nouns,Adverbs,,gently,canonical,draft,
Nouns,Adverbs,,loudly,canonical,draft,
Nouns,Adverbs,,never,canonical,draft,
Nouns,Adverbs,,quickly,canonical,draft,
Nouns,Adverbs,,quietly,canonical,draft,
Nouns,Adverbs,,slowly,canonical,draft,
Nouns,Adverbs,,sometimes,canonical,draft,
Nouns,Animals,,bird,canonical,draft,
Nouns,Animals,Dinosaurs,brontosaurus,canonical,draft,
Nouns,Animals,Dinosaurs,pterodactyl,canonical,draft,
Nouns,Animals,Dinosaurs,T-rex,canonical,draft,
Nouns,Animals,Jungle,hippo,canonical,draft,
Nouns,Animals,Jungle,kangaroo,canonical,draft,
Nouns,Animals,Jungle,koala,canonical,draft,
Nouns,Animals,Jungle,panda,canonical,draft,
Nouns,Animals,Jungle,zebra,canonical,draft,
Nouns,Animals,More mammals,cheetah,canonical,draft,
Nouns,Animals,More mammals,jaguar,canonical,draft,
Nouns,Animals,More mammals,opossum,canonical,draft,
Nouns,Animals,Pets,ferret,canonical,draft,
Nouns,Animals,Pets,gerbil,canonical,draft,
Nouns,Animals,Pets,guinea pig,canonical,draft,
Nouns,Animals,Pets,hamster,canonical,draft,
Nouns,Animals,Pets,lizard,canonical,draft,
Nouns,Animals,Pets,turtle,canonical,draft,
Nouns,Animals,Polar,puffin,canonical,draft,
